Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Schloss, P.D., Westcott, S.L., Ryabin, T., Hall, J.R., Hartmann, M., Hollister, E.B., Lesniewski, R.A., Oakley, B.B., Parks, D.H., Robinson, C.J., Sahl, J.W., Stres, B., Thallinger, G.G., Van Horn, D.J., Weber, C.F.","Introducing mothur: Open-source, platform-independent, community-supported software for describing and comparing microbial communities",2009,"Applied and Environmental Microbiology","75","23",,"7537","7541",,6095,10.1128/AEM.01541-09,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72949107142&doi=10.1128%2fAEM.01541-09&partnerID=40&md5=81e3286c46897244d955b04ff17304f4",Article,Scopus,2-s2.0-72949107142
"Walther, G.-R., Post, E., Convey, P., Menzel, A., Parmesan, C., Beebee, T.J.C., Fromentin, J.-M., Hoegh-Guldberg, O., Bairlein, F.","Ecological responses to recent climate change",2002,"Nature","416","6879",,"389","395",,4666,10.1038/416389a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037187586&doi=10.1038%2f416389a&partnerID=40&md5=718852fc7629f7694ee1dad2f954c41a",Review,Scopus,2-s2.0-0037187586
"Parmesan, C.","Ecological and evolutionary responses to recent climate change",2006,"Annual Review of Ecology, Evolution, and Systematics","37",,,"637","669",,3564,10.1146/annurev.ecolsys.37.091305.110100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748994063&doi=10.1146%2fannurev.ecolsys.37.091305.110100&partnerID=40&md5=360f32792bcdc4d93d22cf025afb62a6",Review,Scopus,2-s2.0-33748994063
"Jackson, J.B.C., Kirby, M.X., Berger, W.H., Bjorndal, K.A., Botsford, L.W., Bourque, B.J., Bradbury, R.H., Cooke, R., Erlandson, J., Estes, J.A., Hughes, T.P., Kidwell, S., Lange, C.B., Lenihan, H.S., Pandolfi, J.M., Peterson, C.H., Steneck, R.S., Tegner, M.J., Warner, R.R.","Historical overfishing and the recent collapse of coastal ecosystems",2001,"Science","293","5530",,"629","637",,3361,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035958751&partnerID=40&md5=221652496b50c202831e0c546029cc0c",Review,Scopus,2-s2.0-0035958751
"Venter, J.C., Remington, K., Heidelberg, J.F., Halpern, A.L., Rusch, D., Eisen, J.A., Wu, D., Paulsen, I., Nelson, K.E., Nelson, W., Fouts, D.E., Levy, S., Knap, A.H., Lomas, M.W., Nealson, K., White, O., Peterson, J., Hoffman, J., Parsons, R., Baden-Tillson, H., Pfannkoch, C., Rogers, Y.-H., Smith, H.O.","Environmental Genome Shotgun Sequencing of the Sargasso Sea",2004,"Science","304","5667",,"66","74",,2456,10.1126/science.1093857,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144354360&doi=10.1126%2fscience.1093857&partnerID=40&md5=fa4cd407af76a42090deb66a02298433",Article,Scopus,2-s2.0-11144354360
"Long, E.R., Macdonald, D.D., Smith, S.L., Calder, F.D.","Incidence of adverse biological effects within ranges of chemical concentrations in marine and estuarine sediments",1995,"Environmental Management","19","1",,"81","97",,2339,10.1007/BF02472006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028976299&doi=10.1007%2fBF02472006&partnerID=40&md5=01f5e5ee283e2ee9ba5024e9bbd9ce0e",Article,Scopus,2-s2.0-0028976299
"Diaz, R.J., Rosenberg, R.","Spreading dead zones and consequences for marine ecosystems",2008,"Science","321","5891",,"926","929",,2153,10.1126/science.1156401,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49649095625&doi=10.1126%2fscience.1156401&partnerID=40&md5=2ed9a0866e4d63ae1bfce4fc76e4e8bb",Review,Scopus,2-s2.0-49649095625
"Orr, J.C., Fabry, V.J., Aumont, O., Bopp, L., Doney, S.C., Feely, R.A., Gnanadesikan, A., Gruber, N., Ishida, A., Joos, F., Key, R.M., Lindsay, K., Maier-Reimer, E., Matear, R., Monfray, P., Mouchet, A., Najjar, R.G., Plattner, G.-K., Rodgers, K.B., Sabine, C.L., Sarmiento, J.L., Schlitzer, R., Slater, R.D., Totterdell, I.J., Weirig, M.-F., Yamanaka, Y., Yool, A.","Anthropogenic ocean acidification over the twenty-first century and its impact on calcifying organisms",2005,"Nature","437","7059",,"681","686",,2001,10.1038/nature04095,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-26944481617&doi=10.1038%2fnature04095&partnerID=40&md5=ff05e9fbb86a5cb73496264bc0321a5f",Article,Scopus,2-s2.0-26944481617
"Sogin, M.L., Morrison, H.G., Huber, J.A., Welch, D.M., Huse, S.M., Neal, P.R., Arrieta, J.M., Herndl, G.J.","Microbial diversity in the deep sea and the underexplored ""rare biosphere""",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","32",,"12115","12120",,1947,10.1073/pnas.0605127103,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747073504&doi=10.1073%2fpnas.0605127103&partnerID=40&md5=35e67f403e3c54aa5549e1db15d51499",Article,Scopus,2-s2.0-33747073504
"Myers, R.A., Worm, B.","Rapid worldwide depletion of predatory fish communities",2003,"Nature","423","6937",,"280","283",,1627,10.1038/nature01610,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038688384&doi=10.1038%2fnature01610&partnerID=40&md5=8725e9d759ded9cba1ab1dbede8aaf14",Article,Scopus,2-s2.0-0038688384
"Doney, S.C., Fabry, V.J., Feely, R.A., Kleypas, J.A.","Ocean acidification: The other CO<inf>2</inf> problem",2009,"Annual Review of Marine Science","1",,,"169","192",,1461,10.1146/annurev.marine.010908.163834,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649171984&doi=10.1146%2fannurev.marine.010908.163834&partnerID=40&md5=547435a40f56c23a52c90c15e1d27e5a",Review,Scopus,2-s2.0-67649171984
"Könneke, M., Bernhard, A.E., De La Torre, J.R., Walker, C.B., Waterbury, J.B., Stahl, D.A.","Isolation of an autotrophic ammonia-oxidizing marine archaeon",2005,"Nature","437","7058",,"543","546",,1429,10.1038/nature03911,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-25644435673&doi=10.1038%2fnature03911&partnerID=40&md5=d981140d873d0f1dd0264f43d0c1674e",Article,Scopus,2-s2.0-25644435673
"Klaine, S.J., Alvarez, P.J.J., Batley, G.E., Fernandes, T.F., Handy, R.D., Lyon, D.Y., Mahendra, S., McLaughlin, M.J., Lead, J.R.","Nanomaterials in the environment: Behavior, fate, bioavailability, and effects",2008,"Environmental Toxicology and Chemistry","27","9",,"1825","1851",,1398,10.1897/08-090.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-52649141624&doi=10.1897%2f08-090.1&partnerID=40&md5=94aac4e631754ac34cc84cf4b3cfd278",Review,Scopus,2-s2.0-52649141624
"Harvell, C.D., Mitchell, C.E., Ward, J.R., Altizer, S., Dobson, A.P., Ostfeld, R.S., Samuel, M.D.","Climate warming and disease risks for terrestrial and marine biota",2002,"Science","296","5576",,"2158","2162",,1292,10.1126/science.1063699,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037150708&doi=10.1126%2fscience.1063699&partnerID=40&md5=15427dbc657f737af2ad715b8ddace47",Review,Scopus,2-s2.0-0037150708
